bisphenol,ID,ID.2,treatment,temp,exposure,temp.acute,body.mass_pre,condition,CS.slope.1,CS.slope.2,CS.slope,CS.dilution,CS.activity,LDH.slope.1,LDH.slope.2,LDH.slope,LDH.dilution,LDH.activity
BPF,BPF-18-BPF-11,18-BPF-11,18-expose,18,expose,18,0.47,1.988163826,0.0608,0.0604,0.0606,10,4.455882353,0.0885,0.0883,0.0884,100,65
BPF,BPF-28-C-1,28-C-1,28-C,28,control,28,0.58,1.965859861,0.0543,0.0551,0.0547,10,4.022058824,0.0412,0.0412,0.0412,200,60.58823529
BPF,BPF-28-BPF-1,28-BPF-1,28-expose,28,expose,28,0.43,1.979957398,0.0812,0.0794,0.0803,10,5.904411765,0.078,0.0831,0.08055,200,118.4558824
BPF,BPF-18-BPF-12,18-BPF-12,18-expose,18,expose,18,0.47,2.030314321,,,,,,,,,,
BPF,BPF-18-C-12,18-C-12,18-C,18,control,18,0.42,1.465834743,,,,,,,,,,
BPF,BPF-28-BPF-2,28-BPF-2,28-expose,28,expose,28,0.55,1.516626738,,,,,,,,,,
BPF,BPF-28-C-2,28-C-2,28-C,28,control,28,0.67,1.704661103,0.0674,0.0672,0.0673,10,4.948529412,0.0554,0.0562,0.0558,200,82.05882353
BPF,BPF-18-C-13,18-C-13,18-C,18,control,18,0.52,1.850898455,0.0375,0.0374,0.03745,10,2.753676471,0.0672,0.0658,0.0665,100,48.89705882
BPF,BPF-18-BPF-13,18-BPF-13,18-expose,18,expose,18,0.46,1.905742869,0.0512,0.0511,0.05115,10,3.761029412,0.0812,0.0819,0.08155,100,59.96323529
BPF,BPF-28-C-3,28-C-3,28-C,28,control,28,0.44,1.749241674,0.0887,0.0886,0.08865,10,6.518382353,0.0781,0.0775,0.0778,200,114.4117647
BPF,BPF-28-BPF-3,28-BPF-3,28-expose,28,expose,28,0.57,1.876770091,0.0481,0.047,0.04755,10,3.496323529,0.0509,0.0467,0.0488,200,71.76470588
BPF,BPF-18-BPF-14,18-BPF-14,18-expose,18,expose,18,0.53,1.813943351,0.0617,0.0553,0.0585,10,4.301470588,0.0751,0.0689,0.072,100,52.94117647
BPF,BPF-18-C-14,18-C-14,18-C,18,control,18,0.45,1.717683587,0.0396,0.0398,0.0397,10,2.919117647,0.0795,0.0797,0.0796,100,58.52941176
BPF,BPF-28-BPF-4,28-BPF-4,28-expose,28,expose,28,0.51,1.79750728,0.0424,0.0452,0.0438,10,3.220588235,0.0662,0.0648,0.0655,200,96.32352941
